identifier,email,verifiedEmail,displayName,roleNames,password
test1,allen@descope.com,TRUE,Test 1,[],pbkdf2_sha256$260000$qvuPAH7BzZx5oB278YWjNO$ydHrFpnbLr+udgJkquUusfG3YQBI6+ZvxsnVbdLserw=
test1,test1@example.com,FALSE,Test 1,[],
test2,test2@example.com,TRUE,Test 2,[],
test3,test3@example.com,FALSE,Test 3,"[""admin"", ""super_user""]",
test4,test4@example.com,TRUE,Test 4,[],
test5,test5@example.com,FALSE,Test 5,[],
test6,test6@example.com,TRUE,Test 6,"[""admin"", ""super_user""]",
test7,test7@example.com,FALSE,Test 7,[],
test8,test8@example.com,TRUE,Test 8,[],
test9,test9@example.com,FALSE,Test 9,"[""admin"", ""super_user""]",
test10,test10@example.com,TRUE,Test 10,[],
test11,test11@example.com,FALSE,Test 11,[],
test12,test12@example.com,TRUE,Test 12,"[""admin"", ""super_user""]",
test13,test13@example.com,FALSE,Test 13,[],
test14,test14@example.com,TRUE,Test 14,[],
test15,test15@example.com,FALSE,Test 15,"[""admin"", ""super_user""]",
test16,test16@example.com,TRUE,Test 16,[],
test17,test17@example.com,FALSE,Test 17,[],
test18,test18@example.com,TRUE,Test 18,"[""admin"", ""super_user""]",
test19,test19@example.com,FALSE,Test 19,[],
test20,test20@example.com,TRUE,Test 20,[],
test21,test21@example.com,FALSE,Test 21,"[""admin"", ""super_user""]",
test22,test22@example.com,TRUE,Test 22,[],
test23,test23@example.com,FALSE,Test 23,[],
test24,test24@example.com,TRUE,Test 24,"[""admin"", ""super_user""]",
test25,test25@example.com,FALSE,Test 25,[],
test26,test26@example.com,TRUE,Test 26,[],
test27,test27@example.com,FALSE,Test 27,"[""admin"", ""super_user""]",
test28,test28@example.com,TRUE,Test 28,[],
test29,test29@example.com,FALSE,Test 29,[],
test30,test30@example.com,TRUE,Test 30,"[""admin"", ""super_user""]",
test31,test31@example.com,FALSE,Test 31,[],
test32,test32@example.com,TRUE,Test 32,[],
test33,test33@example.com,FALSE,Test 33,"[""admin"", ""super_user""]",
test34,test34@example.com,TRUE,Test 34,[],
test35,test35@example.com,FALSE,Test 35,[],
test36,test36@example.com,TRUE,Test 36,"[""admin"", ""super_user""]",
test37,test37@example.com,FALSE,Test 37,[],
test38,test38@example.com,TRUE,Test 38,[],
test39,test39@example.com,FALSE,Test 39,"[""admin"", ""super_user""]",
test40,test40@example.com,TRUE,Test 40,[],
test41,test41@example.com,FALSE,Test 41,[],
test42,test42@example.com,TRUE,Test 42,"[""admin"", ""super_user""]",
test43,test43@example.com,FALSE,Test 43,[],
test44,test44@example.com,TRUE,Test 44,[],
test45,test45@example.com,FALSE,Test 45,"[""admin"", ""super_user""]",
